order,doc_id,class,pages,windows,ladder_level,size_mb,text_pages,zero_text,vlm_input_tokens,vlm_output_tokens,embed_images,embed_text_tokens,usd_batch_today,usd_standard_today,why_selected,abs_path
1,TC1AV8M2,manual,1440,69,L1,309.9,1440,no,4537392,1447600,1440,720000,4.5742,9.1483,"headline doc — alarm chapter (~494 records), component registers, bilingual, 69 windows",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Use & Maintenance/TC1AV8M2_1.0.pdf
2,ETC1AV81,diagram,592,20,L1,31.9,592,no,3129240,595360,592,296000,2.3549,4.7098,E/P/L sheets — identifier-dense; E carries the register / I-O / cable pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Diagrams/ETC1AV81.PDF
3,TC1E-SF,attachment,55,2,L1,1.1,55,no,209232,55675,55,27500,0.1889,0.3778,bilingual safety + lifting; carries the 2 scanned pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Use & Maintenance/Attachments/TC1E Schemi funzioni di sicurezza_1.3_Valido da Lotto 68_EN.pdf
4,PTC1AV81,diagram,54,2,L1,0.8,54,no,342360,54670,54,27000,0.2368,0.4737,E/P/L sheets — identifier-dense; E carries the register / I-O / cable pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Diagrams/PTC1AV81.PDF
5,LTC1AV81,diagram,34,2,L1,0.4,34,no,239160,34570,34,17000,0.1582,0.3165,E/P/L sheets — identifier-dense; E carries the register / I-O / cable pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Diagrams/LTC1AV81.PDF
6,20221111102138_L118_H3DK_SOLID-STATE_TIM,datasheet,32,2,L2,6.2,32,no,138024,32560,32,16000,0.1163,0.2327,"Level 2 blind fold — no outline, >30pp (the fixes/001 path)",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/6449/20221111102138_l118_h3dk_solid-state_timers_datasheet_en.pdf
7,20220621085106_6822945_EN,datasheet,31,2,L1,2.7,31,no,134928,31555,31,15500,0.1132,0.2263,Level 1 packed fold — dense outline coalesced up to the cap,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5124/20220621085106_6822945_EN.pdf
8,TC1E-PERIODIC,attachment,25,1,L0,0.5,25,no,115752,25525,25,12500,0.094,0.188,bilingual safety + lifting; carries the 2 scanned pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Use & Maintenance/Attachments/TC1E Verifiche periodiche su efficienza sistemi di sicurezza_1.1_EN.pdf
9,20210412121148_TESYS-D_LC1D25BL,datasheet,6,1,L0,0.2,6,no,38352,6430,6,3000,0.0271,0.0542,"vendor datasheet, 3-6pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/379/20210412121148_TeSys D_LC1D25BL.pdf
10,20220713160933_MC,datasheet,5,1,L0,1.1,0,yes,32160,5425,5,2500,0.0228,0.0456,zero text layer — proves not_searchable / no allowlist,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5309/20220713160933_MC.pdf
11,20210823091710_6192049_EN,datasheet,3,1,L0,1.8,3,no,19776,3415,3,1500,0.0141,0.0283,"vendor datasheet, 3-6pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/1592/20210823091710_6192049_EN.pdf
12,20220720151015_6202800_EN,datasheet,2,1,L0,12.4,0,yes,21840,2410,2,1000,0.0129,0.0259,zero text layer — proves not_searchable / no allowlist,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5367/20220720151015_6202800_EN.pdf
13,20210412130239_DATASHEET_BES0068_265936_,datasheet,2,1,L0,0.1,2,no,13584,2410,2,1000,0.0098,0.0197,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/392/20210412130239_Datasheet_BES0068_265936_en.pdf
14,20210818102302_DATASHEET_BES00H4_235779_,datasheet,2,1,L0,0.1,2,no,13584,2410,2,1000,0.0098,0.0197,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/1453/20210818102302_Datasheet_BES00H4_235779_en.pdf
15,20220405112529_WENGLOR_WM03PCT2,datasheet,2,1,L0,1.7,2,no,21840,2410,2,1000,0.0129,0.0259,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/4042/20220405112529_wenglor_WM03PCT2.PDF
16,20220620153808_6150082_EN,datasheet,2,1,L0,0.1,2,no,13584,2410,2,1000,0.0098,0.0197,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5099/20220620153808_6150082_EN.pdf
17,20220714111956_6252166,datasheet,2,1,L0,0.2,2,no,13584,2410,2,1000,0.0098,0.0197,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5325/20220714111956_6252166.pdf
18,20220720172019_19252DATASHEET,datasheet,2,1,L0,0.1,2,no,13584,2410,2,1000,0.0098,0.0197,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5378/20220720172019_19252datasheet.pdf
19,20230322085600_F0E74A05F8D42BC22AC4CBCC5,datasheet,2,1,L0,0.3,2,no,13584,2410,2,1000,0.0098,0.0197,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/8091/20230322085600_f0e74a05f8d42bc22ac4cbcc58a1e17e.pdf
20,CE_TC1AV8_ITA-EN,attachment,1,1,L0,0.4,0,yes,7392,1405,1,500,0.0055,0.011,bilingual safety + lifting; carries the 2 scanned pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Use & Maintenance/Attachments/CE_TC1AV8_ITA-EN.pdf
21,FOOD_COMPATIBILITY_TC1AV8,attachment,1,1,L0,0.4,0,yes,7392,1405,1,500,0.0055,0.011,bilingual safety + lifting; carries the 2 scanned pages,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Use & Maintenance/Attachments/FOOD_COMPATIBILITY_TC1AV8.pdf
22,20220712115440_LR_INSTRUCTIONS,datasheet,1,1,L0,3.2,0,yes,11520,1405,1,500,0.0071,0.0141,zero text layer — proves not_searchable / no allowlist,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5296/20220712115440_LR_Instructions.pdf
23,20220720170354_3286410_INFO_SHEET_DE_EN,datasheet,1,1,L0,0.5,0,yes,11520,1405,1,500,0.0071,0.0141,zero text layer — proves not_searchable / no allowlist,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5374/20220720170354_3286410_Info_sheet_DE_EN.pdf
24,20221018171733_DF-00515,datasheet,1,1,L0,0.1,0,yes,3264,1405,1,500,0.004,0.0079,zero text layer — proves not_searchable / no allowlist,/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/6056/20221018171733_DF-00515.pdf
25,20220628133853_156533DATASHEET,datasheet,1,1,L0,0.1,1,no,7392,1405,1,500,0.0055,0.011,"vendor datasheet, 1-2pp band",/Users/sabesonk/Documents/dilmah_enginnering_usecase/dataset/AI Agent/Datasheet/TC1AV8DS2_1.0/Datasheet/5201/20220628133853_156533datasheet.pdf
